"PUBLICATION DATE","REFERENCE YEAR","INDUSTRY","UNIT","FORECAST VALUE","REVISION REASON"
"20220216","2021","Total","Thousands of Jobs","4,177.7",
"20220216","2021","Private","Thousands of Jobs","3,589.5",
"20220216","2021","Financial Activities","Thousands of Jobs","459.3",
"20220216","2021","Securities","Thousands of Jobs","174.6",
"20220216","2021","Professional & Business Services","Thousands of Jobs","716.1",
"20220216","2021","Information","Thousands of Jobs","215.4",
"20220216","2021","Education","Thousands of Jobs","233.3",
"20220216","2021","Health & Social Services","Thousands of Jobs","794.5",
"20220216","2021","Leisure & Hospitality","Thousands of Jobs","281.4",
"20220216","2021","Wholesale & Retail Trade","Thousands of Jobs","414.7",
"20220216","2021","Transportation & Utilities","Thousands of Jobs","124.5",
"20220216","2021","Construction","Thousands of Jobs","135.6",
"20220216","2021","Manufacturing","Thousands of Jobs","53.2",
"20220216","2021","Other Services","Thousands of Jobs","158.8",
"20220216","2021","Government","Thousands of Jobs","588.1",
"20220216","2022","Total","Thousands of Jobs","4,369.6",
"20220216","2022","Private","Thousands of Jobs","3,779.5",
"20220216","2022","Financial Activities","Thousands of Jobs","463.8",
"20220216","2022","Securities","Thousands of Jobs","176.6",
"20220216","2022","Professional & Business Services","Thousands of Jobs","739",
"20220216","2022","Information","Thousands of Jobs","228.4",
"20220216","2022","Education","Thousands of Jobs","234",
"20220216","2022","Health & Social Services","Thousands of Jobs","831.7",
"20220216","2022","Leisure & Hospitality","Thousands of Jobs","358.8",
"20220216","2022","Wholesale & Retail Trade","Thousands of Jobs","425.7",
"20220216","2022","Transportation & Utilities","Thousands of Jobs","140.4",
"20220216","2022","Construction","Thousands of Jobs","141",
"20220216","2022","Manufacturing","Thousands of Jobs","52",
"20220216","2022","Other Services","Thousands of Jobs","164.5",
"20220216","2022","Government","Thousands of Jobs","590.1",
"20220426","2021","Total","Thousands of Jobs","4,238.3",
"20220426","2021","Private","Thousands of Jobs","3,663.9",
"20220426","2021","Financial Activities","Thousands of Jobs","465.2",
"20220426","2021","Securities","Thousands of Jobs","180",
"20220426","2021","Professional & Business Services","Thousands of Jobs","723.3",
"20220426","2021","Information","Thousands of Jobs","221.6",
"20220426","2021","Education","Thousands of Jobs","240.7",
"20220426","2021","Health & Social Services","Thousands of Jobs","798.4",
"20220426","2021","Leisure & Hospitality","Thousands of Jobs","301.5",
"20220426","2021","Wholesale & Retail Trade","Thousands of Jobs","415.8",
"20220426","2021","Transportation & Utilities","Thousands of Jobs","135.1",
"20220426","2021","Construction","Thousands of Jobs","141",
"20220426","2021","Manufacturing","Thousands of Jobs","54.4",
"20220426","2021","Other Services","Thousands of Jobs","167.2",
"20220426","2021","Government","Thousands of Jobs","574.4",
"20220426","2022","Total","Thousands of Jobs","4,437.9",
"20220426","2022","Private","Thousands of Jobs","3,861.1",
"20220426","2022","Financial Activities","Thousands of Jobs","470.8",
"20220426","2022","Securities","Thousands of Jobs","181.1",
"20220426","2022","Professional & Business Services","Thousands of Jobs","756",
"20220426","2022","Information","Thousands of Jobs","237.2",
"20220426","2022","Education","Thousands of Jobs","244.7",
"20220426","2022","Health & Social Services","Thousands of Jobs","823.1",
"20220426","2022","Leisure & Hospitality","Thousands of Jobs","384.6",
"20220426","2022","Wholesale & Retail Trade","Thousands of Jobs","430.6",
"20220426","2022","Transportation & Utilities","Thousands of Jobs","147.9",
"20220426","2022","Construction","Thousands of Jobs","141.3",
"20220426","2022","Manufacturing","Thousands of Jobs","54.3",
"20220426","2022","Other Services","Thousands of Jobs","175.5",
"20220426","2022","Government","Thousands of Jobs","576.8",
"20220426","2023","Total","Thousands of Jobs","4,566.3",
"20220426","2023","Private","Thousands of Jobs","3,987.9",
"20220426","2023","Financial Activities","Thousands of Jobs","477.9",
"20220426","2023","Securities","Thousands of Jobs","183.1",
"20220426","2023","Professional & Business Services","Thousands of Jobs","771.7",
"20220426","2023","Information","Thousands of Jobs","240.9",
"20220426","2023","Education","Thousands of Jobs","247.6",
"20220426","2023","Health & Social Services","Thousands of Jobs","844.5",
"20220426","2023","Leisure & Hospitality","Thousands of Jobs","433.4",
"20220426","2023","Wholesale & Retail Trade","Thousands of Jobs","442.9",
"20220426","2023","Transportation & Utilities","Thousands of Jobs","153.8",
"20220426","2023","Construction","Thousands of Jobs","148.5",
"20220426","2023","Manufacturing","Thousands of Jobs","49.8",
"20220426","2023","Other Services","Thousands of Jobs","181.8",
"20220426","2023","Government","Thousands of Jobs","578.4",
"20230112","2021","Total","Thousands of Jobs","4,238.258",
"20230112","2021","Private","Thousands of Jobs","3,663.85",
"20230112","2021","Financial Activities","Thousands of Jobs","465.15",
"20230112","2021","Securities","Thousands of Jobs","180.033",
"20230112","2021","Professional & Business Services","Thousands of Jobs","723.258",
"20230112","2021","Information","Thousands of Jobs","221.558",
"20230112","2021","Education","Thousands of Jobs","240.683",
"20230112","2021","Health & Social Services","Thousands of Jobs","798.35",
"20230112","2021","Leisure & Hospitality","Thousands of Jobs","301.483",
"20230112","2021","Wholesale & Retail Trade","Thousands of Jobs","415.775",
"20230112","2021","Transportation & Utilities","Thousands of Jobs","135.092",
"20230112","2021","Construction","Thousands of Jobs","140.992",
"20230112","2021","Manufacturing","Thousands of Jobs","54.358",
"20230112","2021","Other Services","Thousands of Jobs","167.15",
"20230112","2021","Government","Thousands of Jobs","574.408",
"20230112","2022","Total","Thousands of Jobs","4,506.955",
"20230112","2022","Private","Thousands of Jobs","3,927.621",
"20230112","2022","Financial Activities","Thousands of Jobs","473.062",
"20230112","2022","Securities","Thousands of Jobs","182.005",
"20230112","2022","Professional & Business Services","Thousands of Jobs","778.339",
"20230112","2022","Information","Thousands of Jobs","239.578",
"20230112","2022","Education","Thousands of Jobs","242.425",
"20230112","2022","Health & Social Services","Thousands of Jobs","848.515",
"20230112","2022","Leisure & Hospitality","Thousands of Jobs","391.428",
"20230112","2022","Wholesale & Retail Trade","Thousands of Jobs","434.735",
"20230112","2022","Transportation & Utilities","Thousands of Jobs","144.816",
"20230112","2022","Construction","Thousands of Jobs","139.515",
"20230112","2022","Manufacturing","Thousands of Jobs","57.801",
"20230112","2022","Other Services","Thousands of Jobs","179.002",
"20230112","2022","Government","Thousands of Jobs","579.334",
"20230112","2023","Total","Thousands of Jobs","4,574.965",
"20230112","2023","Private","Thousands of Jobs","3,995.563",
"20230112","2023","Financial Activities","Thousands of Jobs","468.09",
"20230112","2023","Securities","Thousands of Jobs","176.242",
"20230112","2023","Professional & Business Services","Thousands of Jobs","791.845",
"20230112","2023","Information","Thousands of Jobs","243.096",
"20230112","2023","Education","Thousands of Jobs","242.28",
"20230112","2023","Health & Social Services","Thousands of Jobs","884.15",
"20230112","2023","Leisure & Hospitality","Thousands of Jobs","412.439",
"20230112","2023","Wholesale & Retail Trade","Thousands of Jobs","432.047",
"20230112","2023","Transportation & Utilities","Thousands of Jobs","148.036",
"20230112","2023","Construction","Thousands of Jobs","138.609",
"20230112","2023","Manufacturing","Thousands of Jobs","52.932",
"20230112","2023","Other Services","Thousands of Jobs","181.798",
"20230112","2023","Government","Thousands of Jobs","579.402",
"20230426","2022","Total","Thousands of Jobs","4,554.033",
"20230426","2022","Private","Thousands of Jobs","3,971.2",
"20230426","2022","Financial Activities","Thousands of Jobs","486.942",
"20230426","2022","Securities","Thousands of Jobs","190.758",
"20230426","2022","Professional & Business Services","Thousands of Jobs","775.7",
"20230426","2022","Information","Thousands of Jobs","235.108",
"20230426","2022","Education","Thousands of Jobs","255.383",
"20230426","2022","Health & Social Services","Thousands of Jobs","852.708",
"20230426","2022","Leisure & Hospitality","Thousands of Jobs","402.933",
"20230426","2022","Wholesale & Retail Trade","Thousands of Jobs","435.675",
"20230426","2022","Transportation & Utilities","Thousands of Jobs","147.208",
"20230426","2022","Construction","Thousands of Jobs","143.367",
"20230426","2022","Manufacturing","Thousands of Jobs","57.675",
"20230426","2022","Other Services","Thousands of Jobs","178.5",
"20230426","2022","Government","Thousands of Jobs","582.833",
"20230426","2023","Total","Thousands of Jobs","4,646.307",
